,web-scraper-order,web-scraper-start-url,links,links-href,user,comment,date
37,1574881695-16667,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Here's An Interesting Story Re: Nicotine Strength And Safety Around Children,https://www.vaportalk.com/forum/topic/7829-heres-an-interesting-story-re-nicotine-strength-and-safety-around-children/,Mega Vaper,,
38,1574881750-16709,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Pg Could Be Good For Us!,https://www.vaportalk.com/forum/topic/7645-pg-could-be-good-for-us/,Vapor Talk Respected Member,,
39,1574881355-15829,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,It Burns!,https://www.vaportalk.com/forum/topic/3627-it-burns/,Vapor Talk Village Idiot,,
40,1574881159-15319,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,The Effects Of Vaping,https://www.vaportalk.com/forum/topic/2235-the-effects-of-vaping/,Mega Vaper,,
41,1574881340-15664,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Check Out This Blown Up Bb,https://www.vaportalk.com/forum/topic/3768-check-out-this-blown-up-bb/,Bazinga!,,
42,1574881674-16576,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Hacking A Lung?,https://www.vaportalk.com/forum/topic/7479-hacking-a-lung/,Mega Vaper,,
43,1574881314-15534,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And Cats,https://www.vaportalk.com/forum/topic/2678-pg-and-cats/,,"On 12/9/2009 at 12:01 PM, SmokinHammer said: 
My cat is definitely strange. She'll lick the floor after my wife sprays perfume. She licks the lotion off of my wife's legs in the morning.  My personal favorite is when she licks my arm pit, because she likes the deodorant. (What a way to wake up!) So I have no idea what she'd do with PG.  I just know I don't want to find out.


Keep in mind that some of those products you mention also contain PG. I also found out that onions or any variety of plant in the onion family (chives, garlic, etc.) can cause a serious form of anemia that can be fatal as well. That's why it's important not to feed cats ""people food"". Even baby food has garlic powder in it that can be harmful to kitties.",
44,1574881396-16138,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,If Someone Is On Oxygen!,https://www.vaportalk.com/forum/topic/4510-if-someone-is-on-oxygen/,,"Well my Mother in law is on oxygen for emphysema and she can barely take a deep breath without coughing -- let alone vape.  As shortness of breath is a symptom of emphysema I don't believe vaping would be too easy anyway.  

If they are off nicotine and on oxygen then this person can certainly break the ""hand to mouth"" habit or try a carrot.",
45,1574881355-15850,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,It Burns!,https://www.vaportalk.com/forum/topic/3627-it-burns/,,,"January 31, 2010"
46,1574881371-15989,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Poisons In E-Juice?,https://www.vaportalk.com/forum/topic/3962-poisons-in-e-juice/,Insane Vaper,,
47,1574881102-15219,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic Content In Vaping Juice Vs Nic Content From Smoking Cigs,https://www.vaportalk.com/forum/topic/1639-nic-content-in-vaping-juice-vs-nic-content-from-smoking-cigs/,,"A very good topic to get started! The forums are usually slower on Saturday so that's probably why nobody as posted in the new forum yet 

Anyway, a manufactured cigarette actually contains about 10mg of nicotine, but only one or two milligrams is actually inhaled by the smoker.

Let's break it down, in this case we will say the user is puffing on a 901...

Average inhale time

3 seconds

Volume of inhale

0.4-0.6L

'Air' Flow

10 litres / minute

Approx. puffs / day

200 (10 puffs per cig. x 20 cigs)

Approx. puffs / ml

2.5 ml is like 20 cigs. 10 puffs per cig so 200 puff / 2.5 ml

So about 75 puff / ml

Approx. drops / ml
20 drops / ml

Approx puffs / drop
3-4 puffs per drop

Approx ml / puff

About 0.015 ml per puff

ml the mesh can hold
A standard (901) atty's mesh can hold about 6 drops

That's about 0.2 ml

ml / dripping top-up

People will top-up when mesh is between half and fully depleted,

and add about 3-5 drops;

about 0.1-0.2 ml

Dripping top-ups / day

15-25

ml / cart

901, 501 : 0.5 ml

301 : 0.3 ml

801 : 1 ml

Cart refills / day

A 901 cart holds about 0.5ml. Will need refilling after about 0.25-0.4 ml is used

So about 7-12 times / day (each refilling being about 2 cigs equivalent of vaping)

Puffs / cart

About 50

Volume of inhale

0.05 - 0.1L. 

A 'lung inhale' rather than 'mouth inhale' would be 0.05-0.1L through the PV followed by a further 0.1-0.3L of air.

Lung capacity.

Total capacity of lungs: 5 - 6L; of which about 1.5L always remains inside after maximal exhale.
When deep breathing, volume of inhale and exhale can be something like 2-3L.
Normal breathing turns over about 5-10% of the air in the lungs: 0.25 - 0.5L. 

Battery capacity.

Manufacturers are likely to provide a figure closer to total capacity than usable capacity (and that depends on current drain and pattern of use etc.). Not all the capacity can be used.
I'd say it is reasonable to knock off a third of the stated capacity to get a truer real-life usable figure for vaping.

'Mini' (510, 901) battery capacity.

So taking our 150 mAh battery and applying some reality will give us more like 100 mAh.

Life of a 'mini' battery between charges

Current will be over 1A (initially), let's call it 1A. So about 6 mins (360 sec.s).
5 second puffs: 75 puffs.
3 second puffs (more common): 120 puffs.
Even these figures are 'at best' ones, assuming a new battery. 1A+ is somewhat over-spec for this size of battery, so will not last as long as expected (though this depends a bit on how much 'recovery time' the battery has between activations); the battery will really be struggling, get warm etc. 
So, real figures are more likely to be 
5 second puffs: 50
3 second puffs: 80
between recharges. About 1/2 a pack of analogs equivalent. So the average person will need at least two batteries per day and use about 30 drops (1.5ml) per battery. A very light 'smoker' might get by on one.

source* http://www.tji-java-ide.com/e-cigarette/index.php?option=com_content&view=article&id=175:technical-repository-facts-and-figures&catid=50:mod-basics&Itemid=69",
48,1574881355-15830,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,It Burns!,https://www.vaportalk.com/forum/topic/3627-it-burns/,VT Member,,
49,1574881750-16710,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Pg Could Be Good For Us!,https://www.vaportalk.com/forum/topic/7645-pg-could-be-good-for-us/,Super Vaper,,
50,1574881348-15801,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Peculiar Throat Problem,https://www.vaportalk.com/forum/topic/4051-peculiar-throat-problem/,,"On 2/24/2010 at 11:00 AM, Wannavape said: 
Thanks, Snubber.  I'm now up to two weeks and one day!!



Grats and keep on vaping.  I had that ""coating feeling"" and then started to keep bottled water around.  drinking more and I was all set.",
51,1574881295-15352,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And The Flu,https://www.vaportalk.com/forum/topic/2752-pg-and-the-flu/,Contributing Vaper,,
52,1574881750-16716,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Pg Could Be Good For Us!,https://www.vaportalk.com/forum/topic/7645-pg-could-be-good-for-us/,VT Member,,
53,1574881416-16370,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,,,"April 2, 2010"
54,1574881414-16302,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Nose Bleed,https://www.vaportalk.com/forum/topic/5721-nose-bleed/,,Glad to hear you got a good report from your doctor and glad you're feeling better.  Excellent news.,
55,1574881355-15852,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,It Burns!,https://www.vaportalk.com/forum/topic/3627-it-burns/,,,"February 5, 2010"
56,1574881314-15516,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And Cats,https://www.vaportalk.com/forum/topic/2678-pg-and-cats/,Super Vaper,,
57,1574881336-15661,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,,"January 26, 2010"
58,1574881422-16437,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Vaping Around Children,https://www.vaportalk.com/forum/topic/6707-vaping-around-children/,,,"August 2, 2010"
59,1574881340-15700,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Check Out This Blown Up Bb,https://www.vaportalk.com/forum/topic/3768-check-out-this-blown-up-bb/,,"OK...there goes ""wanted a BB"" off my list   not cool!!",
60,1574881593-16518,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,"Kinda Funny, But...",https://www.vaportalk.com/forum/topic/7341-kinda-funny-but/,,"pg is in everything, i was wondering if it was in my hair stuff.. sure enough its right after the first one being water.",
61,1574881303-15411,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,VT Member,,
62,1574881695-16670,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Here's An Interesting Story Re: Nicotine Strength And Safety Around Children,https://www.vaportalk.com/forum/topic/7829-heres-an-interesting-story-re-nicotine-strength-and-safety-around-children/,VT Member,,
63,1574881355-15841,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,It Burns!,https://www.vaportalk.com/forum/topic/3627-it-burns/,,glad you're ok should be a warning to us all!!!,
64,1574881403-16202,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,General Vaping Question From A Noobie,https://www.vaportalk.com/forum/topic/5185-general-vaping-question-from-a-noobie/,,,"April 23, 2010"
65,1574881679-16658,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Nicotine And Back Pain.,https://www.vaportalk.com/forum/topic/7588-nicotine-and-back-pain/,,,"September 3, 2010"
66,1574881107-15243,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lets Talk Seriously About Nicotine,https://www.vaportalk.com/forum/topic/1920-lets-talk-seriously-about-nicotine/,Vapor Talk Respected Member,,
67,1574881385-16117,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Nicotine Detox Kit,https://www.vaportalk.com/forum/topic/4865-nicotine-detox-kit/,,Or you could wait about an hour or two and it will be mostly gone .Nicotine metabolises rather quickly.,
68,1574881407-16236,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,American Lung Association Vs. Electronic Cigarettes,https://www.vaportalk.com/forum/topic/5076-american-lung-association-vs-electronic-cigarettes/,,"On 4/16/2010 at 8:36 AM, gnerd said: 
They're not health promoters, they're control freaks on an anti-addiction crusade.  They don't want safe alternatives, they want people with the temerity to become substance addicted to suffer.  It's a Puritan thing - ""Poison not thy fleshly temple pilgrim, or suffer thy God's eternal wrath!""  They've mistaken themselves for deities.

 +1 Bro.",
69,1574881679-16661,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Nicotine And Back Pain.,https://www.vaportalk.com/forum/topic/7588-nicotine-and-back-pain/,,,"September 3, 2010"
70,1574881309-15483,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Vapor Cough The New Smokers Cough?,https://www.vaportalk.com/forum/topic/3130-vapor-cough-the-new-smokers-cough/,,"thanks for the tips.  I have some vg bottles on their way from wordup, just hoping the glucose won't have any effect on my weight.  

I'm also in Canada and we don't have walgreens here, but I've been using a spray called Mouth Kote availabel here.  The active ingredients are Yerba Santa and Xlitol, probably the same stuff as in the products at Walgreens.  

Bottom line is that I don't want to have to carry around and spend more money on something to overcome this dry throat and cough.  And don't want to deal with weight issues from vg if there are any.  And I can't drink any more water then I already am, having the habit of drinking water as often as I do even before ecigs.  I've actually missed my smokers cough the past couple days compared to the vapor cough I've had, especially in the morning or fits that have come on while sleeping.",
71,1574881107-15252,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lets Talk Seriously About Nicotine,https://www.vaportalk.com/forum/topic/1920-lets-talk-seriously-about-nicotine/,Insane Vaper,,
72,1574881371-16011,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Poisons In E-Juice?,https://www.vaportalk.com/forum/topic/3962-poisons-in-e-juice/,,"This brings up another point. If these American mixed juices are being mixed at someones residence, what are the health & safety proptocols that are followed?",
73,1574881768-16735,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,Grumpy old man,,
74,1574881674-16613,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Hacking A Lung?,https://www.vaportalk.com/forum/topic/7479-hacking-a-lung/,,,"August 29, 2010"
75,1574881348-15787,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Peculiar Throat Problem,https://www.vaportalk.com/forum/topic/4051-peculiar-throat-problem/,Grumpy old man,,
76,1574881336-15620,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,"I find it humorous in this case. There is such a shortage of qualified medical staff in the country that it borders on frightening. From my experience, a very large percentage of nurses and other non-MD health care professionals are smokers (just check the smoking area at your local hospital). So basically, this hospital has just guaranteed themselves to be understaffed at all times. I think this was some higher up's knee jerk decision. I've seen this so many times where management just never thinks things through. It's a stupid idea and, unfortunately, the patients will pay for the lack of proper staff at the hospital.
I do agree with GDub. It's a little known fact that a business has the right to impose any type of discrimination they want in the hiring practice as long as it is not race, sex, nationality, or religion based. I can set up my company so it's against policy to hire any males who have mustaches and there is absolutely nothing the law can say about it.
But there is so much short sightedness and stupidity in management, it boggles the mind. This hospital administrator VP, Pope, is just one example of such idiots. It brings to mind a situation when I worked for IBM in the early 80s. Some mid-level manager decided that it would be a great idea to implement manditory drug testing (read that pot testing). He got all these kudos and bonuses. Then they starting testing and realized they would have to fire 90% of all their engineers! Needless to say, that policy was dropped like a hot potato!",
77,1574881768-16747,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,VT Member,,
78,1574881305-15459,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lesser Addiction,https://www.vaportalk.com/forum/topic/2307-lesser-addiction/,,,"November 19, 2009"
79,1574881295-15361,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And The Flu,https://www.vaportalk.com/forum/topic/2752-pg-and-the-flu/,VT Member,,
80,1574881407-16231,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,American Lung Association Vs. Electronic Cigarettes,https://www.vaportalk.com/forum/topic/5076-american-lung-association-vs-electronic-cigarettes/,,"On 4/15/2010 at 3:59 PM, ddavelarsen said: 
Aren't these anti-smoking people really just ""holier than thou?"" Sure seems that way to me. This is not anti-smoking, it's anti-nicotine. Again. Hypocrisy at its finest.

Organization's Efforts to Ban Devices 


They ALL amaze me.  It's just amazing.  Let's take away a safe alternative that people are actually using to get off the tobacco, and try to force them on the things that HAVEN'T WORKED.

The article about NRT's that was referenced, says in no uncertain terms that people often continue using them and don't ever wean off the nicotine, but that it is BETTER THAN TOBACCO.  So how are electronic cigarettes worse?

Do some real research and show us how Ecigs are worse for us than the stuff that hasn't worked for us.  I'd be happy to listen to or read some actual information, some FACTS.  But all this hot air is just irritating.  LOL",
81,1574881107-15261,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lets Talk Seriously About Nicotine,https://www.vaportalk.com/forum/topic/1920-lets-talk-seriously-about-nicotine/,,"So I fully intend to have my 0mg juice and an ecig on me at all times. Go to a party, have a good time, vape and not even think about it the next day because I will not be addicted to nicotine.  It is the act of quitting nic, then taking a cigarette which has the addictive drug nicotine in it, that causes people to ""fail"".  The way to not fall into that trap is to vape with 0mg.",
82,1574881365-15945,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,What My Doctor Said...,https://www.vaportalk.com/forum/topic/3442-what-my-doctor-said/,,"I was not going to tell my Doc, as he is a Veterans Administrator employee. 

The last time I went in, was about 9 months ago. I had been vapeing about 4 weeks and was still smoking about 6 per day. Still, he asked me what had changed. He knew that I had either changed my eating or exercising routine, as my cholesterol had dropped severely. So, I fessed up that I had started using a 901 and cut my cigarette usage by 90%.

He was real happy and let me produce a big cloud in his exam room, without freaking out. He was happy wit every thing that I said.

However, he lost all interest when I stated that it was not FDA approved yet. Him being a government employee, I can't blame him. After all, it is all about the money.",
83,1574881314-15525,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And Cats,https://www.vaportalk.com/forum/topic/2678-pg-and-cats/,Insane Vaper,,
84,1574881407-16230,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,American Lung Association Vs. Electronic Cigarettes,https://www.vaportalk.com/forum/topic/5076-american-lung-association-vs-electronic-cigarettes/,VT Member,,
85,1574881378-16063,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,"Mouth Sores, Issues Resolved",https://www.vaportalk.com/forum/topic/4619-mouth-sores-issues-resolved/,,"I'm glad it was nothing serious, another case of vaping not being the problem!",
86,1574881416-16352,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,,"I'm sorry to hear you're having problems. Hope you can find the cause and get it straightened out.
You know everybody here on the forum is wishing you well.
Good luck sweetie.",
87,1574881407-16237,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,American Lung Association Vs. Electronic Cigarettes,https://www.vaportalk.com/forum/topic/5076-american-lung-association-vs-electronic-cigarettes/,,"BREAKING NEWS: The DOT has concluded that in some low-speed collisions, a vehicle's airbag can actually worsen injuries.  Local DOT offices will begin replacing drivers' airbags with razor-sharp metal spikes, free of charge.",
88,1574881674-16614,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Hacking A Lung?,https://www.vaportalk.com/forum/topic/7479-hacking-a-lung/,,,"August 30, 2010"
89,1574881348-15803,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Peculiar Throat Problem,https://www.vaportalk.com/forum/topic/4051-peculiar-throat-problem/,,,"February 15, 2010"
90,1574881407-16220,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,American Lung Association Vs. Electronic Cigarettes,https://www.vaportalk.com/forum/topic/5076-american-lung-association-vs-electronic-cigarettes/,VT Member,,
91,1574881159-15313,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,The Effects Of Vaping,https://www.vaportalk.com/forum/topic/2235-the-effects-of-vaping/,Mega Vaper,,
92,1574881414-16287,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Nose Bleed,https://www.vaportalk.com/forum/topic/5721-nose-bleed/,Bazinga!,,
93,1574881303-15418,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,Vapor Talk Respected Member,,
